respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.15,0.33
26708,0.01,0.05
26709,0.27,0.67
26710,0.53,0.86
26711,0.28,0.52
26712,0.73,0.87
26713,0.47,0.7
26714,0.1,0.19
26715,0.0,0.09
26716,0.24,0.9
26717,0.05,0.52
26718,0.31,0.55
26719,0.15,0.81
26720,0.05,0.28
26721,0.29,0.46
26722,0.02,0.13
26723,0.64,0.79
26724,0.04,0.75
26725,0.01,0.11
26726,0.16,0.16
26727,0.43,0.85
26728,0.3,0.47
26729,0.25,0.42
26730,0.05,0.17
26731,0.06,0.36
26732,0.2,0.33
26733,0.86,0.94
26734,0.52,0.5
26735,0.11,0.44
26736,0.03,0.11
26737,0.09,0.15
26738,0.66,0.77
26739,0.07,0.17
26740,0.18,0.2
26741,0.14,0.88
26742,0.06,0.33
26743,0.12,0.31
26744,0.05,0.63
26745,0.16,0.7
26746,0.14,0.26
26747,0.07,0.16
26748,0.16,0.15
26749,0.15,0.59
26750,0.52,0.87
26751,0.6,0.8
26752,0.07,0.18
26753,0.25,0.49
26754,0.2,0.61
26755,0.2,0.45
26756,0.03,0.14
26757,0.34,0.57
26758,0.44,0.73
26759,0.03,0.2
26760,0.02,0.2
26761,0.34,0.65
26762,0.28,0.65
26763,0.81,0.95
26764,0.81,0.93
26765,0.11,0.59
26766,0.08,0.2
26767,0.77,0.77
26768,0.09,0.27
26769,0.08,0.22
26770,0.08,0.45
26771,0.04,0.18
26772,0.16,0.45
26773,0.1,0.34
26774,0.15,0.35
26775,0.03,0.42
26776,0.3,0.3
26777,0.16,0.78
26778,0.16,0.08
26779,0.18,0.64
26780,0.15,0.86
26781,0.16,0.37
26782,0.08,0.31
26783,0.04,0.19
26784,0.26,0.7
26785,0.34,0.65
26786,0.04,0.25
26787,0.04,0.57
26788,0.11,0.82
26789,0.04,0.28
26790,0.02,0.18
26791,0.04,0.05
26792,0.11,0.61
26793,0.2,0.92
26794,0.38,0.78
26795,0.16,0.86
26796,0.0,0.05
26797,0.27,0.66
26798,0.3,0.37
26799,0.3,0.46
26800,0.12,0.94
26801,0.16,0.37
26802,0.08,0.25
26803,0.1,0.2
26804,0.1,0.19
26805,0.1,0.17
26806,0.03,0.87
26807,0.4,0.82
26808,0.05,0.44
26809,0.36,0.26
26810,0.07,0.08
26811,0.04,0.14
26812,0.28,0.75
26813,0.41,0.54
26814,0.06,0.63
26815,0.01,0.01
26816,0.1,0.26
26817,0.03,0.66
26818,0.09,0.21
26819,0.13,0.23
26820,0.12,0.21
26821,0.05,0.54
26822,0.12,0.58
26823,0.26,0.47
26824,0.01,0.66
26825,0.55,0.7
26826,0.11,0.77
26827,0.02,0.13
26828,0.05,0.39
26829,0.8,0.95
26830,0.05,0.72
26831,0.29,0.71
26832,0.03,0.79
26833,0.17,0.32
26834,0.18,0.58
26835,0.39,0.78
26836,0.27,0.64
26837,0.15,0.16
26838,0.14,0.66
26839,0.15,0.54
26840,0.06,0.18
26841,0.41,0.62
26842,0.08,0.25
26843,0.06,0.07
26844,0.13,0.32
26845,0.09,0.64
26846,0.05,0.78
26847,0.27,0.28
26848,0.04,0.61
26849,0.37,0.57
26850,0.54,0.67
26851,0.04,0.07
26852,0.06,0.04
26853,0.3,0.45
26854,0.01,0.05
26855,0.33,0.77
26856,0.08,0.13
26857,0.39,0.35
26858,0.19,0.48
26859,0.01,0.07
26860,0.15,0.2
26861,0.04,0.07
26862,0.03,0.3
26863,0.13,0.43
26864,0.3,0.38
26865,0.06,0.05
26866,0.06,0.69
26867,0.11,0.17
26868,0.59,0.76
26869,0.03,0.16
26870,0.68,0.89
26871,0.04,0.02
26872,0.04,0.28
26873,0.13,0.6
26874,0.06,0.21
26875,0.35,0.71
26876,0.07,0.26
26877,0.11,0.25
26878,0.14,0.4
26879,0.02,0.13
26880,0.15,0.18
26881,0.04,0.1
26882,0.07,0.06
26883,0.16,0.35
26884,0.11,0.12
26885,0.13,0.55
26886,0.12,0.81
26887,0.62,0.88
26888,0.92,0.95
26889,0.04,0.13
26890,0.14,0.37
26891,0.71,0.76
26892,0.15,0.7
26893,0.03,0.15
26894,0.3,0.37
26895,0.19,0.78
26896,0.03,0.03
26897,0.14,0.54
26898,0.32,0.6
26899,0.02,0.09
26900,0.07,0.28
26901,0.1,0.44
26902,0.14,0.83
26903,0.13,0.21
26904,0.11,0.39
26905,0.27,0.68
26906,0.04,0.39
26907,0.05,0.48
26908,0.1,0.64
26909,0.17,0.23
26910,0.12,0.45
26911,0.06,0.16
26912,0.45,0.86
26913,0.77,0.85
26914,0.05,0.12
26915,0.17,0.5
26916,0.17,0.19
26917,0.02,0.12
26918,0.9,0.98
26919,0.11,0.56
26920,0.01,0.09
26921,0.2,0.75
26922,0.09,0.74
26923,0.2,0.51
26924,0.83,0.97
26925,0.3,0.7
26926,0.43,0.65
26927,0.5,0.67
